Elapsed time;qo;Qo
(hr);(m3/D);(m3)
3426;12,29181784;2034,123854
3429;12,28442124;2035,659407
3432;12,28112274;2037,194547
3435;12,28112274;2038,729688
3438;12,28112274;2040,264828
3441;12,28112274;2041,799968
3444;12,28112274;2043,335109
3447;12,28112274;2044,870249
3450;12,28112274;2046,405389
3453;12,27730757;2047,940053
3456;12,27052271;2049,473868
3459;12,27052271;2051,007683
3462;12,27052271;2052,541499
3465;12,27052271;2054,075314
3468;12,27052271;2055,609129
3471;12,27052271;2057,142945
3474;12,27052271;2058,67676
3477;12,27022586;2060,210538
3480;12,26001621;2061,74304
3483;12,26001621;2063,275542
3486;12,26001621;2064,808044
3489;12,26001621;2066,340547
3492;12,26001621;2067,873049
3495;12,26001621;2069,405551
3498;12,26001621;2070,938053
3501;12,26001621;2072,470555
3504;12,25276162;2074,00215
3507;12,24960175;2075,53335
3510;12,24960175;2077,06455
3513;12,24960175;2078,59575
3516;12,24960175;2080,126951
3519;12,24960175;2081,658151
3522;12,24960175;2083,189351
3525;12,24960175;2084,720551
3528;12,24583434;2086,251281
3531;12,23927785;2087,78119
3534;12,23927785;2089,3111
3537;12,23927785;2090,84101
3540;12,23927785;2092,37092
3543;12,23927785;2093,900829
3546;12,23927785;2095,430739
3549;12,23927785;2096,960649
3552;12,2389375;2098,490516
3555;12,22904309;2100,019146
3558;12,22904309;2101,547777
3561;12,22904309;2103,076407
3564;12,22904309;2104,605038
3567;12,22904309;2106,133668
3570;12,22904309;2107,662298
3573;12,22904309;2109,190929
3576;12,22904309;2110,719559
3579;12,22192406;2112,2473
3582;12,21889607;2113,774662
3585;12,21889607;2115,302024
3588;12,21889607;2116,829386
3591;12,21889607;2118,356748
3594;12,21889607;2119,88411
3597;12,21889607;2121,411472
3600;12,21889607;2122,938834
3603;12,21517442;2124,46573
3606;12,20883542;2125,991835
3609;12,20883542;2127,517939
3612;12,20883542;2129,044044
3615;12,20883542;2130,570148
3618;12,20883542;2132,096253
3621;12,20883542;2133,622357
3624;12,20883542;2135,148461
3627;12,2084538;2136,674518
3630;12,19885981;2138,199376
3633;12,19885981;2139,724233
3636;12,19885981;2141,249091
3639;12,19885981;2142,773948
3642;12,19885981;2144,298806
3645;12,19885981;2145,823663
3648;12,19885981;2147,34852
3651;12,19885981;2148,873378
3654;12,19187033;2150,397362
3657;12,18896793;2151,920983
3660;12,18896793;2153,444604
3663;12,18896793;2154,968225
3666;12,18896793;2156,491846
3669;12,18896793;2158,015467
3672;12,18896793;2159,539088
3675;12,18896793;2161,062709
3678;12,18529017;2162,58587
3681;12,17915851;2164,108265
3684;12,17915851;2165,63066
3687;12,17915851;2167,153054
3690;12,17915851;2168,675449
3693;12,17915851;2170,197844
3696;12,17915851;2171,720239
3699;12,17915851;2173,242634
3702;12,17873772;2174,764976
3705;12,1694303;2176,286155
3708;12,1694303;2177,807333
3711;12,1694303;2179,328512
3714;12,1694303;2180,849691
3717;12,1694303;2182,37087
3720;12,1694303;2183,892049
3723;12,1694303;2185,413227
3726;12,1694303;2186,934406
3729;12,16256474;2188,454727
3732;12,15978208;2189,9747
3735;12,15978208;2191,494672
3738;12,15978208;2193,014645
3741;12,15978208;2194,534618
3744;12,15978208;2196,054591
3747;12,15978208;2197,574563
3750;12,15978208;2199,094536
3753;12,15614645;2200,614054
3756;12,15021265;2202,132831
3759;12,15021265;2203,651608
3762;12,15021265;2205,170384
3765;12,15021265;2206,689161
3768;12,15021265;2208,207937
3771;12,15021265;2209,726714
3774;12,15021265;2211,24549
3777;12,14975463;2212,76421
3780;12,14072085;2214,2818
3783;12,14072085;2215,79939
3786;12,14072085;2217,31698
3789;12,14072085;2218,83457
3792;12,14072085;2220,35216
3795;12,14072085;2221,86975
3798;12,14072085;2223,387341
3801;12,14072085;2224,904931
3804;12,13397394;2226,421677
3807;12,13130552;2227,938091
3810;12,13130552;2229,454504
3813;12,13130552;2230,970917
3816;12,13130552;2232,48733
3819;12,13130552;2234,003743
3822;12,13130552;2235,520157
3825;12,13130552;2237,03657
3828;12,12771037;2238,552534
3831;12,12196556;2240,067779
3834;12,12196556;2241,583025
3837;12,12196556;2243,098271
3840;12,12196556;2244,613516
3843;12,12196556;2246,128762
3846;12,12196556;2247,644008
3849;12,12196556;2249,159253
3852;12,12147212;2250,674437
3855;12,11269985;2252,188525
3858;12,11269985;2253,702612
3861;12,11269985;2255,2167
